"","PROV","DEPTO","FRAC","RADIO","radio"
"1","02","014","10","01","020141001"
"2","02","002","01","02","020020102"
"3","02","014","05","08","020140508"
"4","02","001","02","01","020010201"
"5","02","001","03","01","020010301"
"6","02","001","02","04","020010204"
"7","02","001","02","02","020010202"
"8","02","001","01","01","020010101"
"9","02","001","03","02","020010302"
"10","02","001","02","03","020010203"
"11","02","001","03","22","020010322"
"12","02","001","03","23","020010323"
"13","02","001","03","03","020010303"
"14","02","001","02","05","020010205"
"15","02","001","02","12","020010212"
"16","02","001","02","06","020010206"
"17","02","001","03","04","020010304"
"18","02","001","03","19","020010319"
"19","02","001","02","07","020010207"
"20","02","001","03","20","020010320"
"21","02","001","03","05","020010305"
"22","02","001","03","21","020010321"
"23","02","001","03","06","020010306"
"24","02","015","09","08","020150908"
"25","02","001","02","08","020010208"
"26","02","001","02","11","020010211"
"27","02","001","03","17","020010317"
"28","02","001","03","18","020010318"
"29","02","001","03","07","020010307"
"30","02","001","02","13","020010213"
"31","02","001","02","10","020010210"
"32","02","001","03","16","020010316"
"33","02","001","02","09","020010209"
"34","02","001","03","14","020010314"
"35","02","001","03","15","020010315"
"36","02","001","02","14","020010214"
"37","02","001","03","13","020010313"
"38","02","001","02","18","020010218"
"39","02","001","02","15","020010215"
"40","02","001","02","17","020010217"
"41","02","001","02","19","020010219"
"42","02","001","03","09","020010309"
"43","02","001","03","08","020010308"
"44","02","001","02","16","020010216"
"45","02","001","03","12","020010312"
"46","02","001","03","10","020010310"
"47","02","001","03","11","020010311"
"48","02","015","09","07","020150907"
"49","02","015","07","06","020150706"
"50","02","001","13","14","020011314"
"51","02","015","07","08","020150708"
"52","02","006","12","03","020061203"
"53","02","004","18","01","020041801"
"54","02","004","19","08","020041908"
"55","02","007","12","08","020071208"
"56","02","007","16","09","020071609"
"57","02","004","10","01","020041001"
"58","02","007","19","01","020071901"
"59","02","009","10","03","020091003"
"60","02","007","20","10","020072010"
"61","02","007","19","04","020071904"
"62","02","007","17","01","020071701"
"63","02","004","21","12","020042112"
"64","02","007","19","05","020071905"
"65","02","007","17","06","020071706"
"66","02","007","18","07","020071807"
"67","02","007","17","02","020071702"
"68","02","007","18","08","020071808"
"69","02","004","03","13","020040313"
"70","02","007","19","06","020071906"
"71","02","007","17","05","020071705"
"72","02","004","10","02","020041002"
"73","02","004","26","03","020042603"
"74","02","007","18","05","020071805"
"75","02","004","10","05","020041005"
"76","02","007","17","07","020071707"
"77","02","007","18","04","020071804"
"78","02","004","23","02","020042302"
"79","02","007","18","09","020071809"
"80","02","007","17","03","020071703"
"81","02","007","17","08","020071708"
"82","02","007","17","04","020071704"
"83","02","007","18","06","020071806"
"84","02","007","18","02","020071802"
"85","02","007","17","09","020071709"
"86","02","004","10","03","020041003"
"87","02","007","18","03","020071803"
"88","02","004","11","05","020041105"
"89","02","007","18","11","020071811"
"90","02","007","18","10","020071810"
"91","02","007","18","01","020071801"
"92","02","007","17","10","020071710"
"93","02","004","23","11","020042311"
"94","02","007","17","11","020071711"
"95","02","004","09","04","020040904"
"96","02","004","26","02","020042602"
"97","02","004","10","04","020041004"
"98","02","008","14","04","020081404"
"99","02","009","13","07","020091307"
"100","02","004","25","03","020042503"
"101","02","004","26","01","020042601"
"102","02","004","10","08","020041008"
"103","02","004","10","07","020041007"
"104","02","004","23","09","020042309"
"105","02","004","10","06","020041006"
"106","02","004","11","06","020041106"
"107","02","004","25","04","020042504"
"108","02","004","24","02","020042402"
"109","02","004","11","07","020041107"
"110","02","004","10","09","020041009"
"111","02","004","23","12","020042312"
"112","02","004","01","11","020040111"
"113","02","008","14","03","020081403"
"114","02","004","24","01","020042401"
"115","02","009","14","04","020091404"
"116","02","009","14","03","020091403"
"117","02","004","11","09","020041109"
"118","02","004","25","02","020042502"
"119","02","004","09","01","020040901"
"120","02","004","24","03","020042403"
"121","02","008","14","02","020081402"
"122","02","004","01","14","020040114"
"123","02","009","14","05","020091405"
"124","02","008","14","01","020081401"
"125","02","004","09","07","020040907"
"126","02","008","15","05","020081505"
"127","02","004","24","04","020042404"
"128","02","008","15","01","020081501"
"129","02","009","14","06","020091406"
"130","02","004","24","05","020042405"
"131","02","009","14","08","020091408"
"132","02","008","15","07","020081507"
"133","02","008","15","06","020081506"
"134","02","009","16","04","020091604"
"135","02","009","14","09","020091409"
"136","02","009","14","10","020091410"
"137","02","009","14","07","020091407"
"138","02","004","25","01","020042501"
"139","02","008","15","04","020081504"
"140","02","004","24","06","020042406"
"141","02","008","15","03","020081503"
"142","02","008","15","08","020081508"
"143","02","008","15","09","020081509"
"144","02","008","15","02","020081502"
"145","02","008","01","08","020080108"
"146","02","008","01","07","020080107"
"147","02","008","06","07","020080607"
"148","02","009","16","12","020091612"
"149","02","008","01","06","020080106"
"150","02","008","01","04","020080104"
"151","02","008","01","05","020080105"
"152","02","008","01","09","020080109"
"153","02","008","01","10","020080110"
"154","02","008","01","11","020080111"
"155","02","008","01","02","020080102"
"156","02","008","01","03","020080103"
"157","02","008","07","14","020080714"
"158","02","008","01","12","020080112"
"159","02","008","07","05","020080705"
"160","02","008","07","03","020080703"
"161","02","008","07","04","020080704"
"162","02","008","03","03","020080303"
"163","02","008","07","06","020080706"
"164","02","008","06","10","020080610"
"165","02","008","07","02","020080702"
"166","02","008","07","07","020080707"
"167","02","008","07","08","020080708"
"168","02","008","06","11","020080611"
"169","02","008","07","09","020080709"
"170","02","008","07","10","020080710"
"171","02","008","07","01","020080701"
"172","02","008","07","11","020080711"
"173","02","008","03","06","020080306"
"174","02","008","01","01","020080101"
"175","02","008","02","01","020080201"
"176","02","008","08","07","020080807"
"177","02","008","07","12","020080712"
"178","02","008","07","13","020080713"
"179","02","008","08","10","020080810"
"180","02","008","03","08","020080308"
"181","02","008","03","09","020080309"
"182","02","008","03","10","020080310"
"183","02","008","10","01","020081001"
"184","02","008","12","04","020081204"
